# These were manually extracted from https://www.routeviews.org/routeviews/index.php/collectors/ on the 14th of December, 2023.
decix.jhb, MY, singlehop
pacwave.lax, US, singlehop
pit.scl, CL, singlehop
route-views, US, multihop
route-views2, US, multihop
route-views3, US, multihop
route-views4, US, multihop
route-views5, US, multihop
route-views6, US, multihop
route-views.amsix, NL, singlehop
route-views.bdix, BD, singlehop
route-views.bknix, TH, singlehop
route-views.chicago, US, singlehop
route-views.chile, CL, singlehop
route-views.eqix, US, singlehop
route-views.flix, US, singlehop
route-views.fortaleza, BR, singlehop
route-views.gixa, GH, singlehop
route-views.gorex, US, singlehop
route-views.isc, US, singlehop
route-views.jinx, ZA, singlehop
route-views.kixp, KE, singlehop
route-views.linx, GB, singlehop
route-views.mwix, US, singlehop
route-views.napafrica, ZA, singlehop
route-views.nwax, US, singlehop
route-views.ny, US, singlehop
route-views.perth, AU, singlehop
route-views.peru, PE, singlehop
route-views.phoix, PH, singlehop
route-views.rio, BR, singlehop
route-views2.saopaulo, BR, singlehop
route-views.sfmix, US, singlehop
route-views.sg, SG, singlehop
route-views.soxrs, RS, singlehop
route-views.sydney, AU, singlehop
route-views.telxatl, US, singlehop
route-views.uaeix, AE, singlehop
route-views.wide, JP, singlehop
route-views.ny, US, singlehop